,AGO,EA,ECA,WA,WCA,SAII,SAI,Tot_sequences
Angola,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14
Senegal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34
Guinea,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Ecuador,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2
Peru,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29
Bolivia,0.0,0.0,0.0,0.0,0.0,0.889,0.111,9
Uganda,0.0,0.5,0.5,0.0,0.0,0.0,0.0,8
Nigeria,0.0,0.0,0.0,0.643,0.357,0.0,0.0,28
Ghana,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
Central African Republic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6
Ethiopia,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11
Kenya,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
Gambia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Sudan,0.0,0.75,0.25,0.0,0.0,0.0,0.0,12
French Guiana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Mali,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
Burkina Faso,0.0,0.0,0.0,0.667,0.333,0.0,0.0,3
Guinea-Bissau,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Democratic Republic of the Congo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Cameroon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brazil,0.0,0.0,0.0,0.0,0.0,0.003,0.997,911
Suriname,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Cote d'Ivoire,0.0,0.0,0.0,0.5,0.5,0.0,0.0,2
