accession_number,description,strain,organism,isolation_source,host,country,collection_date,size,reference,genotype
MZ604876,"UNVERIFIED: Yellow fever virus strain SP14/BRA/2018, complete genome",SP14/BRA/2018,Yellow fever virus,serum,Homo sapiens,Brazil,2018,10306,"location: [0:10306]
authors: Salles,A.P.M., Nastri,A.C.S.S., Ho,Y.-L., Casadio,L.V.B., Amgarten,D.E., Gomes-Gouvea,M.S., Carrilho,F.J., Malta,F.M. and Pinho,J.R.R.
title: Direct Submission
journal: Submitted (21-JUL-2021) Gastroenterology, Instituto de Medicina Tropical, Av. Dr Eneas Carvalho de Aguiar, 470, Sao Paulo 05403-000, Brasil
medline id: 
pubmed id: 
comment: 
",SAI
MZ604875,"UNVERIFIED: Yellow fever virus strain SP21/BRA/2019, complete genome",SP21/BRA/2019,Yellow fever virus,urine,Homo sapiens,Brazil,2019,10279,"location: [0:10279]
authors: Salles,A.P.M., Nastri,A.C.S.S., Ho,Y.-L., Casadio,L.V.B., Amgarten,D.E., Gomes-Gouvea,M.S., Carrilho,F.J., Malta,F.M. and Pinho,J.R.R.
title: Direct Submission
journal: Submitted (21-JUL-2021) Gastroenterology, Instituto de Medicina Tropical, Av. Dr Eneas Carvalho de Aguiar, 470, Sao Paulo 05403-000, Brasil
medline id: 
pubmed id: 
comment: 
",SAI
MZ604874,"UNVERIFIED: Yellow fever virus strain SP20/BRA/2019, complete genome",SP20/BRA/2019,Yellow fever virus,urine,Homo sapiens,Brazil,2019,10283,"location: [0:10283]
authors: Salles,A.P.M., Nastri,A.C.S.S., Ho,Y.-L., Casadio,L.V.B., Amgarten,D.E., Gomes-Gouvea,M.S., Carrilho,F.J., Malta,F.M. and Pinho,J.R.R.
title: Direct Submission
journal: Submitted (21-JUL-2021) Gastroenterology, Instituto de Medicina Tropical, Av. Dr Eneas Carvalho de Aguiar, 470, Sao Paulo 05403-000, Brasil
medline id: 
pubmed id: 
comment: 
",SAI
MZ604873,"UNVERIFIED: Yellow fever virus strain SP11/BRA/2018, complete genome",SP11/BRA/2018,Yellow fever virus,serum,Homo sapiens,Brazil,2018,10185,"location: [0:10185]
authors: Salles,A.P.M., Nastri,A.C.S.S., Ho,Y.-L., Casadio,L.V.B., Amgarten,D.E., Gomes-Gouvea,M.S., Carrilho,F.J., Malta,F.M. and Pinho,J.R.R.
title: Direct Submission
journal: Submitted (21-JUL-2021) Gastroenterology, Instituto de Medicina Tropical, Av. Dr Eneas Carvalho de Aguiar, 470, Sao Paulo 05403-000, Brasil
medline id: 
pubmed id: 
comment: 
",SAI
MZ604872,"UNVERIFIED: Yellow fever virus strain SP09/BRA/2018, complete genome",SP09/BRA/2018,Yellow fever virus,serum,Homo sapiens,Brazil,2018,9813,"location: [0:9813]
authors: Salles,A.P.M., Nastri,A.C.S.S., Ho,Y.-L., Casadio,L.V.B., Amgarten,D.E., Gomes-Gouvea,M.S., Carrilho,F.J., Malta,F.M. and Pinho,J.R.R.
title: Direct Submission
journal: Submitted (21-JUL-2021) Gastroenterology, Instituto de Medicina Tropical, Av. Dr Eneas Carvalho de Aguiar, 470, Sao Paulo 05403-000, Brasil
medline id: 
pubmed id: 
comment: 
",SAI
MZ604871,"UNVERIFIED: Yellow fever virus strain SP24/BRA/2019, complete genome",SP24/BRA/2019,Yellow fever virus,urine,Homo sapiens,Brazil,2019,10864,"location: [0:10864]
authors: Salles,A.P.M., Nastri,A.C.S.S., Ho,Y.-L., Casadio,L.V.B., Amgarten,D.E., Gomes-Gouvea,M.S., Carrilho,F.J., Malta,F.M. and Pinho,J.R.R.
title: Direct Submission
journal: Submitted (21-JUL-2021) Gastroenterology, Instituto de Medicina Tropical, Av. Dr Eneas Carvalho de Aguiar, 470, Sao Paulo 05403-000, Brasil
medline id: 
pubmed id: 
comment: 
",SAI
MZ604870,"UNVERIFIED: Yellow fever virus strain SP05/BRA/2018, complete genome",SP05/BRA/2018,Yellow fever virus,serum,Homo sapiens,Brazil,2018,10274,"location: [0:10274]
authors: Salles,A.P.M., Nastri,A.C.S.S., Ho,Y.-L., Casadio,L.V.B., Amgarten,D.E., Gomes-Gouvea,M.S., Carrilho,F.J., Malta,F.M. and Pinho,J.R.R.
title: Direct Submission
journal: Submitted (21-JUL-2021) Gastroenterology, Instituto de Medicina Tropical, Av. Dr Eneas Carvalho de Aguiar, 470, Sao Paulo 05403-000, Brasil
medline id: 
pubmed id: 
comment: 
",SAI
MZ604869,"UNVERIFIED: Yellow fever virus strain SP04/BRA/2019, complete genome",SP04/BRA/2019,Yellow fever virus,serum,Homo sapiens,Brazil,2019,10279,"location: [0:10279]
authors: Salles,A.P.M., Nastri,A.C.S.S., Ho,Y.-L., Casadio,L.V.B., Amgarten,D.E., Gomes-Gouvea,M.S., Carrilho,F.J., Malta,F.M. and Pinho,J.R.R.
title: Direct Submission
journal: Submitted (21-JUL-2021) Gastroenterology, Instituto de Medicina Tropical, Av. Dr Eneas Carvalho de Aguiar, 470, Sao Paulo 05403-000, Brasil
medline id: 
pubmed id: 
comment: 
",SAI
MZ604868,"UNVERIFIED: Yellow fever virus strain SP02/BRA/2018, complete genome",SP02/BRA/2018,Yellow fever virus,serum,Homo sapiens,Brazil,2018,10377,"location: [0:10377]
authors: Salles,A.P.M., Nastri,A.C.S.S., Ho,Y.-L., Casadio,L.V.B., Amgarten,D.E., Gomes-Gouvea,M.S., Carrilho,F.J., Malta,F.M. and Pinho,J.R.R.
title: Direct Submission
journal: Submitted (21-JUL-2021) Gastroenterology, Instituto de Medicina Tropical, Av. Dr Eneas Carvalho de Aguiar, 470, Sao Paulo 05403-000, Brasil
medline id: 
pubmed id: 
comment: 
",SAI
MZ604867,"UNVERIFIED: Yellow fever virus strain SP22/BRA/2019, complete genome",SP22/BRA/2019,Yellow fever virus,urine,Homo sapiens,Brazil,2019,10854,"location: [0:10854]
authors: Salles,A.P.M., Nastri,A.C.S.S., Ho,Y.-L., Casadio,L.V.B., Amgarten,D.E., Gomes-Gouvea,M.S., Carrilho,F.J., Malta,F.M. and Pinho,J.R.R.
title: Direct Submission
journal: Submitted (21-JUL-2021) Gastroenterology, Instituto de Medicina Tropical, Av. Dr Eneas Carvalho de Aguiar, 470, Sao Paulo 05403-000, Brasil
medline id: 
pubmed id: 
comment: 
",SAI
